numero_catastro,propietario,ci,direccion,zona,distrito,manzano,lote,superficie_terreno,area_construida,uso_suelo,matricula_ddrr,valor_catastral,impuesto_anual,latitud,longitud
13-10-255-2664-000,Inocencio Adadia Lamas,9213161 CBBA,Av. Melchor Pérez N° 2124,ARANJUEZ ALTO,10,781,25,775,253,Comercial,3.01.1.62.9704774,578925,868.39,-17.359985,-66.169438
15-13-877-5497-000,Perla Malo Gonzalo,2812221 CBBA,Av. América N° 4141,LAS CUADRAS,1,337,48,567,441,Comercial,3.01.1.50.8493317,1171422,1757.13,-17.45036,-66.132982
14-10-292-9141-000,Eva María Guillen Rodríguez,7840917 CBBA,Av. Blanco Galindo N° 1190,USPHA USPHA,14,655,34,1181,545,Salud,3.01.1.87.9387329,786546,1179.82,-17.461972,-66.136468
13-13-883-8249-000,Josué Conde Méndez,2430977 CBBA,Av. Circunvalación N° 3251,1° DE MAYO,1,405,35,700,358,Comercial,3.01.1.59.9396211,1317400,1976.1,-17.412598,-66.168229
06-02-603-8439-000,Charo Carrión-Arco,5047077 CBBA,Av. Villazón N° 3876,COÑA COÑA,2,358,6,938,544,Industrial,3.01.1.90.5331274,1423884,2135.83,-17.442374,-66.1112
09-03-938-1200-000,Paco Valle Solana,8589562 CBBA,Av. Beijing N° 346,COÑA COÑA,9,448,37,509,154,Mixto,3.01.1.78.4231512,409745,614.62,-17.428259,-66.117333
15-09-319-4044-000,Eustaquio Carro Cerro,9251543 CBBA,Av. Melchor Pérez N° 1719,LA CHIMBA,14,211,39,1086,85,Comercial,3.01.1.64.8777110,2669388,4004.08,-17.440163,-66.126946
08-12-476-4989-000,Santos Pío Planas Olmo,8090032 CBBA,Av. Blanco Galindo N° 3008,SARCOBAMBA,8,688,29,453,305,Mixto,3.01.1.77.1736586,833067,1249.6,-17.341349,-66.164538
08-18-032-1691-000,Candelario Amat-Llorente,1911624 CBBA,Av. Beijing N° 4985,LA MAICA,3,349,42,159,93,Educativo,3.01.1.49.3237901,132606,198.91,-17.440705,-66.107594
10-06-516-3082-000,Alejo Álvaro,3104968 CBBA,Av. América N° 1684,NOROESTE,12,916,3,760,575,Comercial,3.01.1.69.6561598,1118720,1678.08,-17.35853,-66.150937
12-12-490-7575-000,Amando Nevado,7540193 CBBA,Av. Circunvalación N° 3751,SUDESTE,6,757,6,790,303,Educativo,3.01.1.65.7895583,1089410,1634.12,-17.366806,-66.184786
11-14-066-7033-000,Miguela Diaz Valls,6679579 CBBA,Av. América N° 4279,KHARA KHARA ARRUMANI,12,375,15,1193,863,Industrial,3.01.1.71.2141559,2808322,4212.48,-17.402376,-66.190911
13-01-870-9830-000,Baltasar Lozano,3226836 CBBA,Av. Blanco Galindo N° 1773,MUYURINA,2,392,44,1122,1078,Mixto,3.01.1.11.9694743,1114146,1671.22,-17.466093,-66.140359
08-16-855-3509-000,Antonia María José Artigas Ruano,3705133 CBBA,Av. Beijing N° 533,TEMPORAL PAMPA,11,78,37,734,390,Industrial,3.01.1.28.1849051,1459926,2189.89,-17.437192,-66.181425
11-18-242-2311-000,Juan Antonio Berrocal Riquelme,3359176 CBBA,Av. Melchor Pérez N° 1828,PUKARA GRANDE SUR,10,611,32,807,758,Mixto,3.01.1.99.4641320,1086222,1629.33,-17.395273,-66.170133
11-08-024-9213-000,Isaura López Córdoba,8092078 CBBA,Av. Blanco Galindo N° 4229,MUYURINA,6,393,28,1131,397,Comercial,3.01.1.60.5188728,1855971,2783.96,-17.390645,-66.125896
07-01-470-9513-000,Paola Zaragoza-Boada,1934353 CBBA,Av. Beijing N° 4279,ALALAY NORTE,11,381,23,267,75,Industrial,3.01.1.37.8894330,439215,658.82,-17.444498,-66.169353
04-04-391-5152-000,Eustaquio Gallo,6497738 CBBA,Av. Blanco Galindo N° 4742,CALA CALA,8,881,4,927,699,Industrial,3.01.1.19.9433471,2153421,3230.13,-17.384181,-66.165317
07-13-073-2107-000,Febe Raya-Vicente,7200200 CBBA,Av. América N° 3048,SARCOBAMBA,7,729,49,1185,183,Mixto,3.01.1.52.4892707,2849925,4274.89,-17.362563,-66.169976
05-03-667-0590-000,Carlito Valenzuela Mendoza,3298919 CBBA,Av. Beijing N° 302,LAS CUADRAS,2,442,41,455,142,Educativo,3.01.1.71.3768558,850395,1275.59,-17.447843,-66.117887
14-15-869-5616-000,Sancho Romero Arjona,9357592 CBBA,Av. Villazón N° 4729,USPHA USPHA,1,215,50,1120,877,Educativo,3.01.1.54.7116248,2543520,3815.28,-17.434482,-66.113639
13-03-855-4205-000,Cornelio Anaya Gual,5151029 CBBA,Av. Circunvalación N° 1625,CONDEBAMBA,5,784,18,961,422,Residencial,3.01.1.83.7079196,1627934,2441.9,-17.397892,-66.124721
15-19-097-9341-000,Mateo Bastida Batalla,5797632 CBBA,Av. Beijing N° 4165,TAMBORADA PUKARITA,13,458,7,429,124,Salud,3.01.1.57.2625757,715143,1072.71,-17.380151,-66.170185
05-03-025-1706-000,Calista Salom,1809057 CBBA,Av. Beijing N° 2793,PUKARA GRANDE OESTE,5,668,16,939,756,Educativo,3.01.1.25.7818685,1175628,1763.44,-17.449002,-66.102994
08-03-684-8093-000,Pastora Rocamora Pelayo,1293038 CBBA,Av. Circunvalación N° 463,TUPURAYA,8,38,28,1123,249,Residencial,3.01.1.29.5854590,2426803,3640.2,-17.424913,-66.136794
06-08-143-5765-000,Ruy Villegas Portero,1404535 CBBA,Av. Beijing N° 2278,VALLE HERMOSO OESTE,8,974,49,1172,685,Salud,3.01.1.51.4511862,1694712,2542.07,-17.347369,-66.173178
07-19-468-8768-000,Jose Carlos Conde Galiano,1466015 CBBA,Av. Melchor Pérez N° 111,CHIQUICOLLO,9,756,21,486,124,Industrial,3.01.1.57.9712331,876744,1315.12,-17.407157,-66.205627
08-10-819-3734-000,María Cristina Segarra Leiva,4298516 CBBA,Av. Blanco Galindo N° 3564,JAIHUAYCO,11,682,13,1115,992,Educativo,3.01.1.95.2584351,2717255,4075.88,-17.385135,-66.190733
03-16-968-9185-000,Elpidio Villalonga Abad,5377995 CBBA,Av. América N° 2157,ALALAY SUD,4,95,50,570,346,Residencial,3.01.1.38.1708807,699960,1049.94,-17.389438,-66.160905
13-20-664-6603-000,Juan Manuel del Puerta,5978652 CBBA,Av. América N° 819,NOROESTE,11,740,14,631,385,Comercial,3.01.1.75.1497835,1491684,2237.53,-17.386901,-66.133302
06-18-810-7939-000,Gisela Julián Heredia,9180437 CBBA,Av. Beijing N° 3039,PUKARA GRANDE NORTE,7,183,42,303,208,Educativo,3.01.1.33.6563656,342390,513.59,-17.386909,-66.140053
08-08-037-9193-000,Pelayo Marqués Pla,4934195 CBBA,Av. Beijing N° 1752,KHARA KHARA ARRUMANI,6,592,31,205,152,Salud,3.01.1.93.9084589,156005,234.01,-17.43643,-66.159892
13-17-954-9250-000,Melchor Reina,7347174 CBBA,Av. Villazón N° 4155,VALLE HERMOSO,8,560,26,885,274,Industrial,3.01.1.41.5353712,1564680,2347.02,-17.41861,-66.116471
08-15-871-6603-000,Roque de Miguel,3109811 CBBA,Av. Beijing N° 4127,QUERU QUERU ALTO,5,863,31,592,73,Comercial,3.01.1.57.9806957,750656,1125.98,-17.37857,-66.141897
08-14-779-6203-000,Jose Manuel Ríos Daza,1586531 CBBA,Av. Melchor Pérez N° 1728,SARCOBAMBA,5,27,48,588,355,Residencial,3.01.1.77.2831719,1460004,2190.01,-17.439987,-66.139889
08-16-128-8690-000,Consuelo Priego Mercader,8153344 CBBA,Av. América N° 1778,PUKARA GRANDE SUR,11,460,9,166,60,Industrial,3.01.1.80.5549853,222274,333.41,-17.424029,-66.125165
06-13-474-4966-000,Elpidio Balduino Girona Iriarte,9782257 CBBA,Av. Melchor Pérez N° 4894,NOROESTE,13,859,22,638,401,Educativo,3.01.1.74.4292215,1189232,1783.85,-17.365562,-66.136283
10-16-880-1790-000,Julie Montesinos Vilalta,6632707 CBBA,Av. Melchor Pérez N° 2392,LACMA,13,365,29,872,57,Salud,3.01.1.62.9708279,1056864,1585.3,-17.404552,-66.170094
06-12-723-7334-000,Isabela Eligia Pol Padilla,3425237 CBBA,Av. Blanco Galindo N° 3403,QUERU QUERU,4,680,33,1056,951,Industrial,3.01.1.21.6787168,1743456,2615.18,-17.455513,-66.149123
05-14-534-8204-000,Manu Perea Sanz,6932396 CBBA,Av. Villazón N° 1423,LACMA,5,326,29,880,80,Comercial,3.01.1.79.1836415,929280,1393.92,-17.412022,-66.117523
10-17-941-9833-000,Adoración Casanova,7777705 CBBA,Av. Villazón N° 2250,1° DE MAYO,3,33,15,1090,737,Salud,3.01.1.64.1151494,659450,989.18,-17.437162,-66.166113
06-11-886-0771-000,Valero Jaime Espejo Mateos,7503836 CBBA,Av. Circunvalación N° 4172,CHIQUICOLLO,12,830,22,905,388,Educativo,3.01.1.31.3016341,914050,1371.08,-17.402383,-66.134354
08-08-186-6593-000,Quique Santamaria Duarte,8662383 CBBA,Av. Circunvalación N° 3097,TAMBORADA PUKARITA,11,819,17,887,264,Comercial,3.01.1.31.4394794,983683,1475.52,-17.429992,-66.180242
03-07-186-7997-000,Ema Cordero Andrade,7075505 CBBA,Av. Melchor Pérez N° 3856,TICTI,10,871,3,644,421,Educativo,3.01.1.76.9080750,1107036,1660.55,-17.394622,-66.139357
01-07-518-0564-000,Águeda Pellicer-Roman,9967913 CBBA,Av. América N° 3395,ALALAY SUD,6,69,17,458,104,Industrial,3.01.1.36.7580626,822568,1233.85,-17.42896,-66.160984
08-01-735-4731-000,Emilio Blázquez Codina,8761937 CBBA,Av. Blanco Galindo N° 4793,CHIQUICOLLO,15,673,24,330,291,Residencial,3.01.1.82.8203529,536910,805.37,-17.375417,-66.194572
13-09-650-9901-000,Severino Marquez Talavera,6473538 CBBA,Av. Circunvalación N° 2914,SARCO,13,833,2,521,277,Educativo,3.01.1.47.9742225,1210283,1815.42,-17.426489,-66.122394
05-07-511-2459-000,Benigno Suarez Palomino,1726964 CBBA,Av. Villazón N° 1612,TAMBORADA PUKARITA,7,369,10,438,363,Salud,3.01.1.24.8365214,907974,1361.96,-17.410862,-66.155331
06-11-862-4357-000,Vicente Vega-Marin,5854191 CBBA,Av. Beijing N° 1030,VALLE HERMOSO OESTE,11,617,13,921,773,Industrial,3.01.1.21.4313283,755220,1132.83,-17.414388,-66.117825
13-14-476-6879-000,Hugo Pancho Calatayud Verdú,2011842 CBBA,Av. Melchor Pérez N° 4152,HIPODROMO,13,261,23,766,146,Industrial,3.01.1.18.4746249,1474550,2211.83,-17.43067,-66.12397
09-07-228-6779-000,Roberta Pont-Mármol,9894459 CBBA,Av. Circunvalación N° 630,VILLA BUSCH,8,715,41,708,695,Mixto,3.01.1.13.1765402,690300,1035.45,-17.429019,-66.124252
05-08-134-0301-000,Anita Ayllón Garay,7013804 CBBA,Av. Melchor Pérez N° 2977,SARCO,9,599,47,904,763,Salud,3.01.1.96.7511697,1825176,2737.76,-17.450986,-66.102504
01-16-703-6368-000,Vidal Esteban Ruiz,2758679 CBBA,Av. Beijing N° 1013,MESADILLA,3,524,13,1113,349,Educativo,3.01.1.89.7153960,1731828,2597.74,-17.351869,-66.175958
03-13-925-1691-000,Agustín Fuente,6674132 CBBA,Av. Blanco Galindo N° 2073,QUERU QUERU,3,240,16,944,692,Residencial,3.01.1.22.3454624,2330736,3496.1,-17.421465,-66.173213
09-15-977-4827-000,Melania del Montalbán,3698424 CBBA,Av. Villazón N° 2975,LA CHIMBA,12,641,9,855,483,Comercial,3.01.1.17.6159817,819090,1228.63,-17.431317,-66.116973
11-01-712-1618-000,Lola Roura,9082865 CBBA,Av. Beijing N° 4899,VALLE HERMOSO,10,536,46,1139,658,Educativo,3.01.1.72.3630179,2640202,3960.3,-17.358001,-66.165673
06-20-169-4786-000,Leandra Mora Esteban,3182493 CBBA,Av. Melchor Pérez N° 2109,SARCOBAMBA,12,815,18,980,366,Educativo,3.01.1.32.3531686,640920,961.38,-17.428132,-66.159522
10-09-440-8345-000,Almudena Blanes Lamas,9715802 CBBA,Av. Blanco Galindo N° 1743,SUDOESTE,15,586,31,475,357,Residencial,3.01.1.54.3110073,500175,750.26,-17.392857,-66.125589
04-01-519-2293-000,Octavia Viñas Guerra,5850313 CBBA,Av. Circunvalación N° 3886,VALLE HERMOSO OESTE,6,548,26,634,251,Comercial,3.01.1.69.9025098,1537450,2306.18,-17.392976,-66.205993
14-09-060-0070-000,Paca Cantero,3843685 CBBA,Av. América N° 1553,TAMBORADA PUKARITA,3,736,40,1141,548,Residencial,3.01.1.16.4064382,1692103,2538.15,-17.412403,-66.118446
04-03-400-8832-000,Joaquín Sales,4865580 CBBA,Av. Circunvalación N° 3613,PUKARA GRANDE OESTE,11,583,33,160,91,Salud,3.01.1.85.6678771,292480,438.72,-17.402893,-66.135439
04-19-203-1385-000,María Luisa Zamorano,7737484 CBBA,Av. Melchor Pérez N° 1702,TICTI,14,730,13,667,279,Comercial,3.01.1.60.8742781,1037852,1556.78,-17.384955,-66.126911
13-02-525-6004-000,Leire de Giralt,7378620 CBBA,Av. Blanco Galindo N° 3762,MUYURINA,10,321,48,612,94,Educativo,3.01.1.87.9130452,1526940,2290.41,-17.446738,-66.15332
01-03-142-1498-000,Octavia Trinidad Arribas Diego,2222666 CBBA,Av. Circunvalación N° 792,TUPURAYA,3,471,13,1051,861,Industrial,3.01.1.68.9654463,2352138,3528.21,-17.370419,-66.168738
01-09-356-1728-000,Fabián Amores Lobo,7127380 CBBA,Av. América N° 1085,TUPURAYA,9,71,10,1126,818,Comercial,3.01.1.96.7479469,2490712,3736.07,-17.440762,-66.145384
05-03-137-3837-000,Vicenta Expósito Gabaldón,4012337 CBBA,Av. Melchor Pérez N° 4364,MESADILLA,13,224,41,386,189,Comercial,3.01.1.89.1258635,588264,882.4,-17.437058,-66.13691
08-10-286-8853-000,Manola Berenguer,4051438 CBBA,Av. Melchor Pérez N° 3829,CONDEBAMBA,3,322,19,1176,346,Educativo,3.01.1.17.8376377,1963920,2945.88,-17.400675,-66.13156
05-08-242-8788-000,Néstor Porta Guardia,9906986 CBBA,Av. Blanco Galindo N° 564,QUERU QUERU,3,607,3,840,182,Comercial,3.01.1.49.8499023,1388520,2082.78,-17.382588,-66.128839
13-06-932-6208-000,Margarita Frías-Pinto,5866032 CBBA,Av. Beijing N° 416,ALALAY SUD,10,593,11,330,284,Salud,3.01.1.88.2761143,281820,422.73,-17.377533,-66.146436
15-04-559-0394-000,Ana del Madrigal,8404292 CBBA,Av. Villazón N° 3894,PUKARA GRANDE SUR,14,201,15,329,293,Residencial,3.01.1.89.8889673,738276,1107.41,-17.402791,-66.148071
01-16-829-7794-000,Balduino Peláez Gras,1301355 CBBA,Av. Melchor Pérez N° 2761,TUPURAYA,12,551,35,255,151,Residencial,3.01.1.86.8775752,354450,531.67,-17.39545,-66.194494
04-13-266-3708-000,Laura Pulido Vigil,8995843 CBBA,Av. Melchor Pérez N° 3978,LA CHIMBA,9,769,7,780,262,Mixto,3.01.1.11.9685321,655980,983.97,-17.432332,-66.112213
15-19-321-1421-000,Amaya Valderrama Palau,2488031 CBBA,Av. Villazón N° 4873,ARANJUEZ ALTO,13,382,3,756,333,Mixto,3.01.1.56.3306758,725760,1088.64,-17.414222,-66.177092
03-02-646-8260-000,José María Huguet Dávila,4387659 CBBA,Av. América N° 3819,CONDEBAMBA,9,794,4,320,156,Salud,3.01.1.55.4177854,268800,403.2,-17.410021,-66.191949
02-12-526-1283-000,Glauco Arregui-Cobo,6149306 CBBA,Av. América N° 4292,TICTI,12,679,10,420,254,Mixto,3.01.1.35.9263163,296520,444.78,-17.463263,-66.134205
07-06-342-7518-000,Reynaldo Mancebo Guardiola,6474395 CBBA,Av. Blanco Galindo N° 768,PUKARA GRANDE OESTE,3,294,39,1061,1048,Comercial,3.01.1.87.4803180,2402104,3603.16,-17.405954,-66.205003
13-03-902-2151-000,Camilo Valdés Luís,9298569 CBBA,Av. Beijing N° 4395,VALLE HERMOSO OESTE,14,121,46,903,101,Salud,3.01.1.73.4718325,1414098,2121.15,-17.440546,-66.127389
10-06-743-2805-000,Alex Salvà Saez,7984628 CBBA,Av. Villazón N° 2127,LA CHIMBA,12,718,12,606,431,Salud,3.01.1.46.5303512,1359258,2038.89,-17.439377,-66.185735
13-10-485-4770-000,Nicolás Talavera-Alarcón,6632738 CBBA,Av. Blanco Galindo N° 3014,HIPODROMO,7,18,8,1163,585,Mixto,3.01.1.27.7656665,1267670,1901.51,-17.385678,-66.156217
08-17-250-4496-000,Mariana Rozas-Cuadrado,5695363 CBBA,Av. Blanco Galindo N° 1975,USPHA USPHA,2,271,38,259,89,Educativo,3.01.1.43.7275716,508935,763.4,-17.357912,-66.162581
09-15-856-6708-000,Araceli del Codina,3881971 CBBA,Av. Beijing N° 3136,HIPODROMO,10,230,8,642,155,Educativo,3.01.1.72.5585706,1095894,1643.84,-17.38468,-66.194447
06-14-340-6995-000,Merche Sainz Ugarte,9832833 CBBA,Av. Villazón N° 2696,NOROESTE,1,467,6,336,252,Salud,3.01.1.81.4945617,435456,653.18,-17.435104,-66.17254
15-13-835-0949-000,Victorino Carretero,4802292 CBBA,Av. Beijing N° 1868,MESADILLA,10,798,34,664,504,Comercial,3.01.1.50.1996510,823360,1235.04,-17.385398,-66.145139
11-07-308-4945-000,Candelaria Salinas Blanes,6520346 CBBA,Av. Blanco Galindo N° 3355,NORESTE,6,776,20,1004,639,Industrial,3.01.1.17.9955195,1190744,1786.12,-17.444151,-66.146528
07-06-515-6101-000,Nicodemo Benavides Ropero,4114001 CBBA,Av. Blanco Galindo N° 2836,SUDOESTE,6,289,21,485,342,Educativo,3.01.1.91.6464718,576665,865.0,-17.38524,-66.159613
08-16-482-7152-000,Yésica del Cáceres,8156454 CBBA,Av. Blanco Galindo N° 2400,SARCOBAMBA,13,598,11,373,191,Comercial,3.01.1.99.6085753,814632,1221.95,-17.366639,-66.167161
02-13-653-3005-000,Palmira Pilar Nicolau Aramburu,9553570 CBBA,Av. Circunvalación N° 2125,CONDEBAMBA,11,332,31,912,521,Industrial,3.01.1.32.5107352,2044704,3067.06,-17.438841,-66.184885
15-20-146-3305-000,Ester Badía Cabrera,8337050 CBBA,Av. América N° 4326,SUDESTE,14,426,20,179,67,Mixto,3.01.1.41.6588466,133534,200.3,-17.386884,-66.197632
08-06-818-2561-000,Quique Castell-Segarra,2284256 CBBA,Av. Blanco Galindo N° 551,JAIHUAYCO,13,18,35,934,680,Industrial,3.01.1.22.5164056,1884812,2827.22,-17.39755,-66.134491
12-11-681-8765-000,Narcisa Piquer Macias,3207716 CBBA,Av. Blanco Galindo N° 2750,ALALAY SUD,8,616,25,592,182,Industrial,3.01.1.19.1537588,471232,706.85,-17.391381,-66.169584
13-11-062-4646-000,Alfonso Herberto Sobrino Luján,2194212 CBBA,Av. Melchor Pérez N° 1572,TAMBORADA PUKARITA,9,233,10,1190,1148,Comercial,3.01.1.38.4820064,1510110,2265.16,-17.420836,-66.167396
08-19-588-7461-000,Julio César Salas Segura,6302435 CBBA,Av. Beijing N° 1446,JAIHUAYCO,2,950,27,422,264,Mixto,3.01.1.30.5843492,342664,514.0,-17.417655,-66.121264
03-04-744-0611-000,Marciano Luque-Escrivá,6687076 CBBA,Av. Blanco Galindo N° 3605,LAS CUADRAS,2,113,22,896,348,Educativo,3.01.1.26.1333319,1527680,2291.52,-17.392365,-66.136972
08-01-651-9029-000,María Fernanda Jaume Vall,8891711 CBBA,Av. Circunvalación N° 4744,NORESTE,2,515,8,1081,62,Industrial,3.01.1.13.2628448,2594400,3891.6,-17.392567,-66.126771
15-08-989-8249-000,Gastón Agudo Uribe,4261120 CBBA,Av. América N° 2301,ALALAY SUD,12,948,29,637,444,Industrial,3.01.1.41.2788088,663754,995.63,-17.427286,-66.196352
06-10-917-8438-000,Iris Aliaga Camacho,2888223 CBBA,Av. Blanco Galindo N° 3912,JAIHUAYCO,8,493,34,274,221,Residencial,3.01.1.64.6789369,649380,974.07,-17.411677,-66.151765
10-11-128-6657-000,Susanita Tomé Solís,2250935 CBBA,Av. Beijing N° 1342,HIPODROMO,12,219,46,1071,624,Educativo,3.01.1.59.3891692,2255526,3383.29,-17.387803,-66.147694
12-04-184-6941-000,Bernardita Morán Gonzalez,4272692 CBBA,Av. América N° 3478,MAYORAZGO,14,95,36,485,153,Educativo,3.01.1.67.9493330,328345,492.52,-17.38447,-66.182144
07-15-123-6758-000,Manuel Carranza Goñi,1010348 CBBA,Av. Circunvalación N° 2596,QUERU QUERU,6,160,42,555,316,Educativo,3.01.1.80.4795909,1061715,1592.57,-17.42882,-66.113126
10-08-784-0441-000,Chelo Rosado Cabrero,7036783 CBBA,Av. Melchor Pérez N° 219,SUDOESTE,8,944,48,153,147,Comercial,3.01.1.19.1389196,100368,150.55,-17.432377,-66.140934
08-11-960-5532-000,Catalina Haro Bermejo,4571478 CBBA,Av. Beijing N° 925,LA MAICA,10,530,12,393,316,Comercial,3.01.1.88.7453948,888966,1333.45,-17.452222,-66.149905
13-15-585-5626-000,Germán Cervantes Aroca,2471298 CBBA,Av. Circunvalación N° 4319,CHIQUICOLLO,5,944,3,891,752,Salud,3.01.1.10.7933931,1762398,2643.6,-17.388602,-66.189922
07-13-757-4198-000,Melchor Téllez Olivares,4565118 CBBA,Av. Melchor Pérez N° 4455,LA MAICA,10,314,7,191,114,Residencial,3.01.1.87.2962565,361563,542.34,-17.454247,-66.119871
13-04-370-5251-000,Lino Ramis-Casanovas,4403635 CBBA,Av. Melchor Pérez N° 1440,PUKARA GRANDE NORTE,4,117,36,1048,702,Salud,3.01.1.64.7641657,841544,1262.32,-17.372598,-66.141974
11-03-232-2827-000,Raimundo Echevarría Núñez,2095682 CBBA,Av. Beijing N° 1126,SUDESTE,14,758,42,826,689,Comercial,3.01.1.45.4453523,1016806,1525.21,-17.375875,-66.191371
10-11-163-3635-000,Pascuala Campo Miranda,6310962 CBBA,Av. América N° 4562,JAIHUAYCO,11,393,5,721,131,Educativo,3.01.1.31.9558080,956767,1435.15,-17.453139,-66.121711
01-11-869-2624-000,Tere Rojas Monreal,8339775 CBBA,Av. Melchor Pérez N° 2920,COÑA COÑA,12,775,23,870,181,Salud,3.01.1.61.2013272,1030080,1545.12,-17.364721,-66.150845
05-06-831-2837-000,Manuel Cabrero Gimenez,9757170 CBBA,Av. Villazón N° 1637,LA TEMIBLE CARA CARA,13,695,50,1010,503,Salud,3.01.1.95.7575528,1341280,2011.92,-17.384815,-66.126477
01-09-276-8084-000,Susana de Espada,6116570 CBBA,Av. Circunvalación N° 4731,COÑA COÑA,11,971,5,866,215,Educativo,3.01.1.49.2975265,1178626,1767.94,-17.354517,-66.151257
04-09-890-5147-000,Martirio Macias,9358405 CBBA,Av. Circunvalación N° 2708,PUKARA GRANDE SUR,5,640,23,355,153,Comercial,3.01.1.21.3512692,419610,629.41,-17.430887,-66.131591
10-07-457-5500-000,Ainoa del Mateos,9805577 CBBA,Av. Circunvalación N° 4201,VALLE HERMOSO,1,994,27,443,363,Salud,3.01.1.12.9220552,510336,765.5,-17.405052,-66.196692
15-02-522-7458-000,Juan Carlos Sola Noguera,3479967 CBBA,Av. Beijing N° 488,VALLE HERMOSO,4,234,13,827,118,Mixto,3.01.1.26.3622841,667389,1001.08,-17.463436,-66.145275
01-02-360-5182-000,Evaristo del Puig,8007673 CBBA,Av. Melchor Pérez N° 3639,ALALAY NORTE,11,230,9,395,194,Salud,3.01.1.36.7424523,659255,988.88,-17.441153,-66.131071
11-18-325-8198-000,María Checa,6369262 CBBA,Av. Villazón N° 2343,CALA CALA,2,638,26,639,109,Mixto,3.01.1.84.3895274,642195,963.29,-17.381391,-66.146592
03-09-994-7322-000,Olegario Bautista Escudero,6855216 CBBA,Av. Circunvalación N° 2024,LA TEMIBLE CARA CARA,13,680,29,676,671,Industrial,3.01.1.54.7257917,1328340,1992.51,-17.371612,-66.168729
09-19-654-4007-000,Prudencia Jordá Prieto,4092465 CBBA,Av. América N° 3484,ALALAY NORTE,6,782,20,794,564,Residencial,3.01.1.22.5880889,1965150,2947.72,-17.36054,-66.175406
02-17-384-0209-000,Lilia Guijarro Neira,9442635 CBBA,Av. Beijing N° 698,PUKARA GRANDE NORTE,2,384,31,239,166,Mixto,3.01.1.39.3640655,462704,694.06,-17.403868,-66.162329
08-10-411-5330-000,Encarnita de Maza,3860838 CBBA,Av. Circunvalación N° 3348,MAYORAZGO,3,607,45,155,102,Mixto,3.01.1.74.6306920,141515,212.27,-17.407675,-66.14433
10-18-413-0865-000,Noa Busquets Escrivá,4227002 CBBA,Av. Villazón N° 3736,KHARA KHARA ARRUMANI,1,84,31,588,349,Salud,3.01.1.41.5528688,874944,1312.42,-17.407572,-66.158545
10-17-956-2230-000,Blas Gabaldón Carballo,7547071 CBBA,Av. Melchor Pérez N° 2423,SARCOBAMBA,13,340,49,299,124,Mixto,3.01.1.50.3978234,569894,854.84,-17.370588,-66.173503
14-12-137-7637-000,Rafael Reyes Gómez Dominguez,3988836 CBBA,Av. Villazón N° 2364,PUKARA GRANDE NORTE,12,990,48,1053,566,Mixto,3.01.1.36.2694332,1606878,2410.32,-17.359457,-66.167875
04-08-760-6658-000,Adelia Galan Cueto,4189817 CBBA,Av. Blanco Galindo N° 1470,ARANJUEZ ALTO,3,69,11,1133,626,Educativo,3.01.1.74.3789566,1953292,2929.94,-17.412885,-66.195534
03-18-615-8555-000,Leocadia Coll Abascal,2510289 CBBA,Av. Melchor Pérez N° 3120,CONDEBAMBA,8,111,28,585,391,Residencial,3.01.1.48.2449211,784485,1176.73,-17.368835,-66.180211
13-15-854-6120-000,Sancho Pedrosa Vicente,7793140 CBBA,Av. Melchor Pérez N° 4602,QUERU QUERU,13,351,15,723,401,Educativo,3.01.1.53.9354218,944238,1416.36,-17.373262,-66.149237
01-01-650-5406-000,Cesar Arellano Valera,4486248 CBBA,Av. Melchor Pérez N° 1010,QUERU QUERU,10,316,19,728,217,Comercial,3.01.1.29.2755127,1272544,1908.82,-17.404371,-66.152089
07-09-823-9215-000,Elisabet Sevillano Montaña,6703905 CBBA,Av. Beijing N° 2730,SARCOBAMBA,7,960,35,402,239,Industrial,3.01.1.56.1486278,657672,986.51,-17.427135,-66.178432
14-13-014-6795-000,Regina Castells,4237354 CBBA,Av. Villazón N° 305,SARCOBAMBA,10,131,50,1185,261,Comercial,3.01.1.43.9243444,1104420,1656.63,-17.377835,-66.177435
10-02-607-6173-000,Adelia Artigas Pacheco,8355114 CBBA,Av. Melchor Pérez N° 840,SARCO,12,788,31,208,84,Comercial,3.01.1.95.2905660,501072,751.61,-17.451973,-66.126169
04-20-537-1095-000,Bernarda Gómez Riera,5544399 CBBA,Av. Circunvalación N° 3131,PUKARA GRANDE SUR,12,490,29,789,163,Residencial,3.01.1.45.7698542,1774461,2661.69,-17.383171,-66.135516
02-18-390-3822-000,Guillermo Monreal Sales,5699453 CBBA,Av. Blanco Galindo N° 4745,PUKARA GRANDE SUR,8,927,25,190,74,Comercial,3.01.1.74.3918804,295830,443.75,-17.40192,-66.199252
13-18-299-0472-000,Maximino Cano Cabañas,6545398 CBBA,Av. Blanco Galindo N° 344,QUERU QUERU ALTO,3,533,10,225,198,Comercial,3.01.1.70.5499217,255825,383.74,-17.386832,-66.175451
15-17-135-9262-000,Vicenta de Ferrero,3710878 CBBA,Av. Beijing N° 3138,QUERU QUERU ALTO,1,757,29,895,706,Salud,3.01.1.80.4221251,2209755,3314.63,-17.362153,-66.152219
09-14-068-1531-000,Eliseo de Hernando,8136655 CBBA,Av. Villazón N° 824,MUYURINA,14,963,36,575,176,Mixto,3.01.1.11.2288811,936100,1404.15,-17.441988,-66.182218
